number,value,datetime_start,datetime_complete,duration,params_grad_refinement_pct,params_init_pack_size,params_max_iterations,params_n_packs,params_surrogate_enabled,params_use_gradient,state
0,0.02844376487370015,2026-01-13 10:39:59.428021,2026-01-13 10:39:59.468457,0 days 00:00:00.040436,0.14091684466046575,13,249,2,True,True,COMPLETE
1,0.020429352736492934,2026-01-13 10:39:59.469017,2026-01-13 10:39:59.562781,0 days 00:00:00.093764,0.12810496691062112,10,308,5,False,True,COMPLETE
2,0.01316954513332691,2026-01-13 10:39:59.563566,2026-01-13 10:39:59.626271,0 days 00:00:00.062705,0.06218955482743507,10,359,6,False,False,COMPLETE
3,0.04360320165331233,2026-01-13 10:39:59.626994,2026-01-13 10:39:59.669422,0 days 00:00:00.042428,0.08485008058616667,12,337,5,False,True,COMPLETE
4,0.01389789586326673,2026-01-13 10:39:59.669960,2026-01-13 10:39:59.758820,0 days 00:00:00.088860,0.1749646361663248,21,377,5,True,True,COMPLETE
5,0.03282535042128076,2026-01-13 10:39:59.759659,2026-01-13 10:39:59.790191,0 days 00:00:00.030532,0.11443368055134245,10,390,2,True,False,COMPLETE
6,0.00936040480072764,2026-01-13 10:39:59.790749,2026-01-13 10:39:59.841303,0 days 00:00:00.050554,0.052450886348186426,23,251,2,True,False,COMPLETE
7,0.0026929886904771827,2026-01-13 10:39:59.842055,2026-01-13 10:39:59.938650,0 days 00:00:00.096595,0.1249773636099924,22,235,6,True,True,COMPLETE
8,0.0067007372788912,2026-01-13 10:39:59.939239,2026-01-13 10:40:00.034032,0 days 00:00:00.094793,0.178855462994994,20,380,6,False,False,COMPLETE
9,0.014368139168599914,2026-01-13 10:40:00.034632,2026-01-13 10:40:00.090852,0 days 00:00:00.056220,0.1238122742311328,13,260,2,False,False,COMPLETE
10,0.0046110578330957885,2026-01-13 10:40:00.091432,2026-01-13 10:40:00.203228,0 days 00:00:00.111796,0.24243668222158626,17,204,4,True,True,COMPLETE
11,0.00015933715318938724,2026-01-13 10:40:00.204176,2026-01-13 10:40:00.346300,0 days 00:00:00.142124,0.21305256029542516,17,200,4,True,True,COMPLETE
12,0.03229716557489981,2026-01-13 10:40:00.347587,2026-01-13 10:40:00.442532,0 days 00:00:00.094945,0.2363843151987573,17,202,4,True,True,COMPLETE
13,0.0076759786346554115,2026-01-13 10:40:00.443332,2026-01-13 10:40:00.517465,0 days 00:00:00.074133,0.20269913261571748,19,229,3,True,True,COMPLETE
14,0.002641241077001144,2026-01-13 10:40:00.518172,2026-01-13 10:40:00.651692,0 days 00:00:00.133520,0.17507828173541848,24,280,3,True,True,COMPLETE
15,0.015716505004548242,2026-01-13 10:40:00.652290,2026-01-13 10:40:00.765418,0 days 00:00:00.113128,0.20839359503575455,24,284,3,True,True,COMPLETE
