number,value,datetime_start,datetime_complete,duration,params_max_iter,params_n_agents,state
0,0.006380238676126471,2026-01-13 10:40:07.528217,2026-01-13 10:40:07.596236,0 days 00:00:00.068019,147,21,COMPLETE
1,0.005094331028246746,2026-01-13 10:40:07.596840,2026-01-13 10:40:07.629660,0 days 00:00:00.032820,127,12,COMPLETE
2,0.008176639878020087,2026-01-13 10:40:07.630794,2026-01-13 10:40:07.687058,0 days 00:00:00.056264,69,39,COMPLETE
3,0.006769222781031647,2026-01-13 10:40:07.687683,2026-01-13 10:40:07.741757,0 days 00:00:00.054074,73,34,COMPLETE
4,0.0040221360635048775,2026-01-13 10:40:07.742301,2026-01-13 10:40:07.767962,0 days 00:00:00.025661,192,5,COMPLETE
5,0.006933029642607114,2026-01-13 10:40:07.769001,2026-01-13 10:40:07.841071,0 days 00:00:00.072070,111,31,COMPLETE
6,0.03809755923066449,2026-01-13 10:40:07.841673,2026-01-13 10:40:07.856789,0 days 00:00:00.015116,42,15,COMPLETE
7,0.0039060342064733966,2026-01-13 10:40:07.857856,2026-01-13 10:40:07.871903,0 days 00:00:00.014047,72,9,COMPLETE
8,0.007611345078860854,2026-01-13 10:40:07.872793,2026-01-13 10:40:07.942671,0 days 00:00:00.069878,133,25,COMPLETE
9,0.003671684040118084,2026-01-13 10:40:07.943272,2026-01-13 10:40:08.009486,0 days 00:00:00.066214,148,21,COMPLETE
10,0.004316404711229627,2026-01-13 10:40:08.010068,2026-01-13 10:40:08.085343,0 days 00:00:00.075275,175,20,COMPLETE
11,0.01584281519435793,2026-01-13 10:40:08.085952,2026-01-13 10:40:08.100326,0 days 00:00:00.014374,98,6,COMPLETE
12,0.006835309008657919,2026-01-13 10:40:08.100955,2026-01-13 10:40:08.146550,0 days 00:00:00.045595,160,13,COMPLETE
13,0.007930506178390306,2026-01-13 10:40:08.147159,2026-01-13 10:40:08.198097,0 days 00:00:00.050938,94,26,COMPLETE
