number,value,datetime_start,datetime_complete,duration,params_max_iter,params_n_agents,state
0,3.389606467695811e-05,2026-01-13 10:39:51.311006,2026-01-13 10:39:51.326707,0 days 00:00:00.015701,80,15,COMPLETE
1,8.53556983420931e-05,2026-01-13 10:39:51.327291,2026-01-13 10:39:51.343662,0 days 00:00:00.016371,52,25,COMPLETE
2,3.676871841466037e-05,2026-01-13 10:39:51.344511,2026-01-13 10:39:51.363231,0 days 00:00:00.018720,73,20,COMPLETE
3,1.796838547710501e-05,2026-01-13 10:39:51.363825,2026-01-13 10:39:51.391954,0 days 00:00:00.028129,74,30,COMPLETE
4,8.648679960953596e-06,2026-01-13 10:39:51.392554,2026-01-13 10:39:51.416301,0 days 00:00:00.023747,108,18,COMPLETE
5,1.960043462738034e-06,2026-01-13 10:39:51.416915,2026-01-13 10:39:51.457859,0 days 00:00:00.040944,85,37,COMPLETE
6,0.0006062753983048108,2026-01-13 10:39:51.458428,2026-01-13 10:39:51.468711,0 days 00:00:00.010283,79,9,COMPLETE
7,4.1331615790796834e-05,2026-01-13 10:39:51.469335,2026-01-13 10:39:51.486507,0 days 00:00:00.017172,59,24,COMPLETE
8,0.12161894944331741,2026-01-13 10:39:51.487042,2026-01-13 10:39:51.492226,0 days 00:00:00.005184,71,5,COMPLETE
9,1.1135881971895854e-05,2026-01-13 10:39:51.492961,2026-01-13 10:39:51.521855,0 days 00:00:00.028894,67,35,COMPLETE
