number,value,datetime_start,datetime_complete,duration,params_max_iter,params_n_agents,state
0,-19.41381890450782,2026-01-13 10:40:40.065387,2026-01-13 10:40:40.113702,0 days 00:00:00.048315,95,15,COMPLETE
1,-19.7071616616646,2026-01-13 10:40:40.115004,2026-01-13 10:40:40.169397,0 days 00:00:00.054393,53,30,COMPLETE
2,-19.658516408292144,2026-01-13 10:40:40.170662,2026-01-13 10:40:40.237061,0 days 00:00:00.066399,77,26,COMPLETE
3,-19.7015646379391,2026-01-13 10:40:40.238361,2026-01-13 10:40:40.332943,0 days 00:00:00.094582,111,21,COMPLETE
4,-19.119531621521674,2026-01-13 10:40:40.334399,2026-01-13 10:40:40.350346,0 days 00:00:00.015947,92,5,COMPLETE
5,-19.715265213565885,2026-01-13 10:40:40.351953,2026-01-13 10:40:40.456149,0 days 00:00:00.104196,115,27,COMPLETE
6,-19.629602086646514,2026-01-13 10:40:40.457317,2026-01-13 10:40:40.503882,0 days 00:00:00.046565,81,17,COMPLETE
7,-19.737951778613933,2026-01-13 10:40:40.505167,2026-01-13 10:40:40.676255,0 days 00:00:00.171088,158,36,COMPLETE
8,-19.7169998080185,2026-01-13 10:40:40.677333,2026-01-13 10:40:40.833413,0 days 00:00:00.156080,145,35,COMPLETE
9,-19.71787674714642,2026-01-13 10:40:40.834703,2026-01-13 10:40:40.962724,0 days 00:00:00.128021,148,28,COMPLETE
10,-19.719870241360695,2026-01-13 10:40:40.964028,2026-01-13 10:40:41.210097,0 days 00:00:00.246069,200,39,COMPLETE
11,-19.73628639626861,2026-01-13 10:40:41.211638,2026-01-13 10:40:41.489493,0 days 00:00:00.277855,200,40,COMPLETE
