number,value,datetime_start,datetime_complete,duration,params_max_iter,params_n_agents,state
0,4.8433953184972625e-05,2026-01-13 10:39:52.685560,2026-01-13 10:39:52.714542,0 days 00:00:00.028982,174,11,COMPLETE
1,0.00036411894630143324,2026-01-13 10:39:52.715648,2026-01-13 10:39:52.734236,0 days 00:00:00.018588,195,5,COMPLETE
2,0.0007792990479339951,2026-01-13 10:39:52.735003,2026-01-13 10:39:52.741473,0 days 00:00:00.006470,40,12,COMPLETE
3,7.707717766997255e-05,2026-01-13 10:39:52.741917,2026-01-13 10:39:52.754349,0 days 00:00:00.012432,116,8,COMPLETE
4,3.1823484461860985e-05,2026-01-13 10:39:52.754925,2026-01-13 10:39:52.792751,0 days 00:00:00.037826,95,31,COMPLETE
5,1.0785419348149027e-05,2026-01-13 10:39:52.793440,2026-01-13 10:39:52.837559,0 days 00:00:00.044119,199,17,COMPLETE
6,1.1563788793227115e-05,2026-01-13 10:39:52.838340,2026-01-13 10:39:52.850960,0 days 00:00:00.012620,193,5,COMPLETE
7,6.690641868843202e-07,2026-01-13 10:39:52.851475,2026-01-13 10:39:52.922912,0 days 00:00:00.071437,186,31,COMPLETE
8,2.9370136315081274e-05,2026-01-13 10:39:52.923489,2026-01-13 10:39:52.976626,0 days 00:00:00.053137,137,32,COMPLETE
9,4.609655128705364e-05,2026-01-13 10:39:52.977252,2026-01-13 10:39:53.009821,0 days 00:00:00.032569,84,32,COMPLETE
10,2.269747962781651e-06,2026-01-13 10:39:53.010645,2026-01-13 10:39:53.090324,0 days 00:00:00.079679,156,40,COMPLETE
11,5.068704958543466e-06,2026-01-13 10:39:53.090894,2026-01-13 10:39:53.167422,0 days 00:00:00.076528,156,40,COMPLETE
