number,value,datetime_start,datetime_complete,duration,params_c1,params_c2,params_n_particles,params_w,state
0,12.934432432041095,2026-01-13 10:39:55.670040,2026-01-13 10:39:55.699071,0 days 00:00:00.029031,0.8140291181429671,1.3914323574755478,44,0.2139384857659687,COMPLETE
1,19.899074983015616,2026-01-13 10:39:55.699670,2026-01-13 10:39:55.721126,0 days 00:00:00.021456,0.7326902886556097,1.0133532804098264,27,0.3397661714700765,COMPLETE
2,3.979831190554087,2026-01-13 10:39:55.722071,2026-01-13 10:39:55.755994,0 days 00:00:00.033923,1.8267288574773357,1.7084493915825951,53,0.43900748719926697,COMPLETE
3,12.934432432041095,2026-01-13 10:39:55.756558,2026-01-13 10:39:55.776402,0 days 00:00:00.019844,0.5847212102192438,1.4995080955516398,26,0.571415740002859,COMPLETE
4,12.934432432041095,2026-01-13 10:39:55.776930,2026-01-13 10:39:55.808384,0 days 00:00:00.031454,0.762758606417935,0.6075094658416136,46,0.5687570252105125,COMPLETE
5,0.006771999407913398,2026-01-13 10:39:55.809180,2026-01-13 10:39:55.825612,0 days 00:00:00.016432,1.598673964881282,1.365674013550147,19,0.8727403472374518,COMPLETE
6,0.04805926957897455,2026-01-13 10:39:55.826289,2026-01-13 10:39:55.842943,0 days 00:00:00.016654,0.6754118169899437,1.898400977047478,20,0.8853171911842808,COMPLETE
7,12.934432432041095,2026-01-13 10:39:55.843451,2026-01-13 10:39:55.867430,0 days 00:00:00.023979,1.8836764904714618,1.4828551875688312,31,0.3251567174458775,COMPLETE
8,3.302098150470556e-09,2026-01-13 10:39:55.868301,2026-01-13 10:39:55.896738,0 days 00:00:00.028437,1.5407988264701122,1.7100210671398077,39,0.757564583683114,COMPLETE
9,12.934432432041095,2026-01-13 10:39:55.897442,2026-01-13 10:39:55.924798,0 days 00:00:00.027356,1.1544640082545867,1.0940926223744327,40,0.5624147947353673,COMPLETE
10,3.9798313289600387,2026-01-13 10:39:55.925470,2026-01-13 10:39:55.940778,0 days 00:00:00.015308,1.406430299125248,1.9231359294949535,11,0.7356429067212125,COMPLETE
11,0.007775785171734384,2026-01-13 10:39:55.941272,2026-01-13 10:39:55.957140,0 days 00:00:00.015868,1.5268696911086133,1.671943828660392,10,0.8931723252453704,COMPLETE
12,1.04037137305113e-06,2026-01-13 10:39:55.957607,2026-01-13 10:39:55.999916,0 days 00:00:00.042309,1.6302836613941172,1.1350558138888425,59,0.746150329743808,COMPLETE
