number,value,datetime_start,datetime_complete,duration,params_max_iter,params_n_agents,state
0,0.008964223761769308,2026-01-13 10:40:03.794833,2026-01-13 10:40:03.823139,0 days 00:00:00.028306,54,35,COMPLETE
1,0.011822610040838288,2026-01-13 10:40:03.823762,2026-01-13 10:40:03.845351,0 days 00:00:00.021589,64,22,COMPLETE
2,0.004940656604095484,2026-01-13 10:40:03.846073,2026-01-13 10:40:03.905189,0 days 00:00:00.059116,100,40,COMPLETE
3,0.0420179072196345,2026-01-13 10:40:03.905771,2026-01-13 10:40:03.926768,0 days 00:00:00.020997,42,35,COMPLETE
4,0.01652525514004255,2026-01-13 10:40:03.927226,2026-01-13 10:40:03.947750,0 days 00:00:00.020524,135,11,COMPLETE
5,0.07626064924627629,2026-01-13 10:40:03.948188,2026-01-13 10:40:03.954018,0 days 00:00:00.005830,57,6,COMPLETE
6,0.004498318344765995,2026-01-13 10:40:03.954752,2026-01-13 10:40:03.993835,0 days 00:00:00.039083,108,25,COMPLETE
7,0.007002035302943188,2026-01-13 10:40:03.994505,2026-01-13 10:40:04.049684,0 days 00:00:00.055179,129,29,COMPLETE
8,0.023010765984136317,2026-01-13 10:40:04.050094,2026-01-13 10:40:04.073886,0 days 00:00:00.023792,160,11,COMPLETE
9,0.030247861423451372,2026-01-13 10:40:04.074443,2026-01-13 10:40:04.109361,0 days 00:00:00.034918,132,18,COMPLETE
10,0.008188659865141279,2026-01-13 10:40:04.109976,2026-01-13 10:40:04.184040,0 days 00:00:00.074064,200,25,COMPLETE
