number,value,datetime_start,datetime_complete,duration,params_max_iter,params_n_agents,state
0,27.16832547950662,2026-01-13 10:40:31.050837,2026-01-13 10:40:31.068203,0 days 00:00:00.017366,47,11,COMPLETE
1,0.36947699878555795,2026-01-13 10:40:31.069834,2026-01-13 10:40:31.230674,0 days 00:00:00.160840,155,35,COMPLETE
2,0.005159562162361908,2026-01-13 10:40:31.231567,2026-01-13 10:40:31.249882,0 days 00:00:00.018315,139,5,COMPLETE
3,16.10728044502207,2026-01-13 10:40:31.250861,2026-01-13 10:40:31.270534,0 days 00:00:00.019673,50,13,COMPLETE
4,0.0002556142515004467,2026-01-13 10:40:31.272110,2026-01-13 10:40:31.445796,0 days 00:00:00.173686,175,31,COMPLETE
5,0.4932811213042214,2026-01-13 10:40:31.447053,2026-01-13 10:40:31.607832,0 days 00:00:00.160779,172,28,COMPLETE
6,3.2567252105764055e-05,2026-01-13 10:40:31.609242,2026-01-13 10:40:31.748936,0 days 00:00:00.139694,176,28,COMPLETE
7,0.08936520474776444,2026-01-13 10:40:31.751159,2026-01-13 10:40:31.781820,0 days 00:00:00.030661,41,22,COMPLETE
8,0.1350233114551429,2026-01-13 10:40:31.783190,2026-01-13 10:40:31.919269,0 days 00:00:00.136079,149,29,COMPLETE
9,0.3640701917120168,2026-01-13 10:40:31.920680,2026-01-13 10:40:31.939776,0 days 00:00:00.019096,94,6,COMPLETE
10,5.586254438245533,2026-01-13 10:40:31.941061,2026-01-13 10:40:32.009221,0 days 00:00:00.068160,103,20,COMPLETE
