Optimizer,Function,Params,Trials_File
COO,Sphere,"{'n_packs': 2, 'init_pack_size': 19, 'grad_refinement_pct': 0.08483601103466931, 'use_gradient': False, 'surrogate_enabled': True, 'max_iterations': 298}",trials_coo_Sphere.csv
COO,Sphere_Shifted,"{'n_packs': 4, 'init_pack_size': 10, 'grad_refinement_pct': 0.07438678293867279, 'use_gradient': False, 'surrogate_enabled': False, 'max_iterations': 216}",trials_coo_Sphere_Shifted.csv
COO,Sphere_Rotated,"{'n_packs': 4, 'init_pack_size': 15, 'grad_refinement_pct': 0.16595651360085367, 'use_gradient': True, 'surrogate_enabled': False, 'max_iterations': 351}",trials_coo_Sphere_Rotated.csv
COO,Sphere_ShiftedRotated,"{'n_packs': 6, 'init_pack_size': 22, 'grad_refinement_pct': 0.15298974575565288, 'use_gradient': True, 'surrogate_enabled': False, 'max_iterations': 237}",trials_coo_Sphere_ShiftedRotated.csv
COO,Rosenbrock,"{'n_packs': 6, 'init_pack_size': 16, 'grad_refinement_pct': 0.11027720261145786, 'use_gradient': False, 'surrogate_enabled': False, 'max_iterations': 342}",trials_coo_Rosenbrock.csv
COO,Rosenbrock_Shifted,"{'n_packs': 4, 'init_pack_size': 20, 'grad_refinement_pct': 0.14732561292387192, 'use_gradient': True, 'surrogate_enabled': True, 'max_iterations': 245}",trials_coo_Rosenbrock_Shifted.csv
COO,Rosenbrock_Rotated,"{'n_packs': 2, 'init_pack_size': 17, 'grad_refinement_pct': 0.17697682575521795, 'use_gradient': True, 'surrogate_enabled': False, 'max_iterations': 258}",trials_coo_Rosenbrock_Rotated.csv
COO,Rosenbrock_ShiftedRotated,"{'n_packs': 4, 'init_pack_size': 20, 'grad_refinement_pct': 0.22389311004913404, 'use_gradient': True, 'surrogate_enabled': True, 'max_iterations': 370}",trials_coo_Rosenbrock_ShiftedRotated.csv
COO,Rastrigin,"{'n_packs': 6, 'init_pack_size': 18, 'grad_refinement_pct': 0.12732700495714294, 'use_gradient': False, 'surrogate_enabled': True, 'max_iterations': 252}",trials_coo_Rastrigin.csv
COO,Rastrigin_Shifted,"{'n_packs': 3, 'init_pack_size': 16, 'grad_refinement_pct': 0.21858397481729924, 'use_gradient': False, 'surrogate_enabled': False, 'max_iterations': 301}",trials_coo_Rastrigin_Shifted.csv
